"atopid","cowid","cow4id","begyr","begmo","begday","endyr","endmo","endday","ineffect","bilat","maxphase","wartime","estmode","pubsecr","secrart","proadd","futmem","speclgth","length","renounce","proren","renewlgt","term","defense","offense","neutral","nonagg","consul","active","conditio","defcon","offcon","neucon","concon","asymm","notaiden","dipaid","terrres","seppeace","thirdcom","noothall","specthrt","statthr1","statthr2","conwtin","medarb","milcon","milaid","intcom","subord","organ1","orgpurp1","organ2","orgpurp2","base","contrib","armred","acqterr","divgains","demwith","reflnun","refothio","natrefal","compag","nomicoop","conres","agprois","conmen","ecaid","interv","mem1","mem2","mem3","mem4","mem5","mem6","mem7","mem8","mem9","mem10","mem11","mem12","mem13","mem14","mem15","mem16","mem17","mem18","mem19","mem20","mem21","mem22","mem23","mem24","mem25","mem26","mem27","mem28","mem29","mem30","mem31","mem32","mem33","mem34","mem35","mem36","mem37","mem38","mem39","mem40","mem41","mem42","mem43","mem44","mem45","mem46","mem47","mem48","mem49","mem50","mem51","mem52","mem53","mem54","mem55","mem56","mem57","mem58","mem59","source","new4","rev4","version","uncond","uncond.def","uncond.off","agpro.mult","io.form","ecaid.dum","milaid.dum","uncond.milsup","scope.index","latent.scope.mean","latent.scope.var","latent.scope.sd","ussr.mem","us.mem","super.mem","mp.mem","mp.count","num.mem","non.maj.only","asymm.cap","nonagg.only","armred.rc","milaid.rc","mean.s.sc","low.s.sc","mean.pi.sc","low.pi.sc","mean.kap.sc","low.kap.sc"
1005,NA,NA,1815,1,3,1815,2,8,0,0,0,0,1,1,7,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,200,210,220,240,245,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,1,1,0,0,0,0,0,1,1,1.08750290846624,0.180572582787824,0.42493832821696,0,0,0,1,3,6,0,1,0,0,0,NA,NA,NA,NA,NA,NA
1010,NA,NA,1815,1,14,1815,6,8,0,1,0,0,1,2,8,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,275,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,1,1,0,0,0,1,1,1,3,1.24319770315355,0.180180362226784,0.424476574414636,0,0,0,1,1,2,0,1,0,0,1,NA,NA,NA,NA,NA,NA
1015,NA,NA,1815,4,29,1815,6,12,0,1,0,0,1,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,300,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,0,0,0,0,0,0,0,0,0.790473467401964,0.157877569217569,0.397338104411809,0,0,0,1,1,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA
1020,2005,3,1815,6,8,1866,6,15,0,0,3,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,240,245,255,267,269,271,273,275,280,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,0,0,0,1,0,0,0,1,0.451315011698201,0.134626099553376,0.366914294561245,0,0,0,1,2,10,0,1,0,0,0,0.577339935714286,-0.0113789,0.878837242857143,0.6461539,0.881455439285714,0.6567164
1025,2006,4,1815,6,12,1820,7,13,0,1,0,0,1,1,3,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,300,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,1,0,0,0,0,0,0,0,0.647279537987978,0.156388305755381,0.395459613305051,0,0,0,1,1,2,0,1,0,0,0,-0.0907914,-0.0907914,-0.0267857,-0.0267857,0.1605839,0.1605839
1030,2007,5,1815,6,12,1848,3,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,300,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,1,0,0,0,0,0,0,0,1.02338752311551,0.170230737918148,0.412590278506593,0,0,0,1,1,2,0,1,0,0,0,-0.1442376,-0.1442376,-0.0267857,-0.0267857,0.1605839,0.1605839
1035,2008,6,1815,11,20,1822,12,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,220,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,200,255,300,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,0,0,0,1,0,0,0,1,1.01896883760681,0.161333156148349,0.401662988272941,0,0,0,1,4,4,0,0,0,0,0,0.944989066666667,0.9023803,0.5100469,0.2333333,0.555605116666667,0.3235294
1040,2010,7,1816,8,10,1820,3,NA,0,1,0,0,1,0,0,1,1,2,0,0,0,0,2,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,1,616,615,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,210,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,0,0,0,0,0,0,0,0,1.41831163008842,0.175402599521202,0.418810935293245,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,1,1
1045,2011,8,1827,7,6,1829,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,200,220,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,0,0,0,0,0,0,0,0,-0.132070590686203,0.209889715212044,0.4581372231243,0,0,0,1,3,3,0,0,0,0,0,0.732492466666667,0.6849542,0.9335107,0.9335107,0.9335107,0.9335107
1050,2012,9,1831,7,23,1848,3,24,0,1,0,0,0,2,8,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,220,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,3,300,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4.01,0,0,0,0,0,0,0,0,0,0.987817900345062,0.172814170587216,0.41570923803449,0,0,0,1,1,2,0,1,0,0,0,0.8684434,0.8684434,0.1594203,0.1594203,0.2467532,0.2467532
